"method","source","coding","estimand","pfs_mean","pfs_median","pfs_lo","pfs_hi","os_mean","os_median","os_lo","os_hi","N_target_pfs","ess0_pfs","ceiling_pfs","N_target_os","ess0_os","ceiling_os"
"LRC-BART single-arm (0.25 x ceiling, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.02,0.9708,0.7259,1.619,0.9236,0.9082,0.7553,1.189,13.64,12.47,54.57,9.471,8.677,37.88
"LRC-BART single-arm (0.25 x ceiling, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.406,1.123,0.3103,4.228,0.738,0.5758,0.1499,2.275,13.64,12.47,54.57,9.471,8.677,37.88
"LRC-BART single-arm (N_target = 30, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","rmst",1.037,1.012,0.7851,1.43,0.9066,0.903,0.7617,1.068,12.64,12.93,12.64,14.64,14.96,14.64
"LRC-BART single-arm (N_target = 30, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","med",1.481,1.286,0.5309,3.632,0.6734,0.5799,0.213,1.701,12.64,12.93,12.64,14.64,14.96,14.64
"LRC-BART single-arm (N_target = 22.5, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","rmst",1.037,1.012,0.7851,1.43,0.9066,0.903,0.7617,1.068,12.64,12.93,12.64,14.64,14.96,14.64
"LRC-BART single-arm (N_target = 22.5, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","med",1.481,1.286,0.5309,3.632,0.6734,0.5799,0.213,1.701,12.64,12.93,12.64,14.64,14.96,14.64
"LRC-BART single-arm (N_target = 15, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","rmst",1.037,1.012,0.7851,1.43,0.9066,0.903,0.7617,1.068,12.64,12.93,12.64,14.64,14.96,14.64
"LRC-BART single-arm (N_target = 15, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","med",1.481,1.286,0.5309,3.632,0.6734,0.5799,0.213,1.701,12.64,12.93,12.64,14.64,14.96,14.64
"LRC-BART single-arm (0.9 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","rmst",1.051,1.014,0.7679,1.543,0.9121,0.9043,0.7602,1.107,11.37,9.149,12.64,13.18,10.58,14.64
"LRC-BART single-arm (0.9 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","med",1.533,1.284,0.465,4.107,0.7021,0.5852,0.1839,1.916,11.37,9.149,12.64,13.18,10.58,14.64
"LRC-BART single-arm (0.5 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","rmst",1.086,1.017,0.7342,1.823,0.9243,0.9068,0.754,1.195,6.318,5.272,12.64,7.32,6.087,14.64
"LRC-BART single-arm (0.5 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","med",1.677,1.298,0.3523,5.374,0.7671,0.5858,0.1379,2.442,6.318,5.272,12.64,7.32,6.087,14.64
"LRC-BART single-arm (0.25 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","rmst",1.138,1.025,0.7106,2.214,0.9382,0.909,0.7496,1.299,3.159,2.811,12.64,3.66,3.243,14.64
"LRC-BART single-arm (0.25 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","orig","med",1.895,1.312,0.2554,7.135,0.844,0.5869,0.1069,3.007,3.159,2.811,12.64,3.66,3.243,14.64
